Pillar,Score_1to5,Weight_sum100,Weighted_Score,Floor,Floor_Met
Availability & Resilience,,18,=B2*C2,,
Performance & Scale,,10,=B3*C3,,
Security & Trust,,18,=B4*C4,,
Operability & Observability,,12,=B5*C5,,
Cost & FinOps,,10,=B6*C6,,
Sustainability & GreenOps,,4,=B7*C7,,
Sovereignty & Compliance,,20,=B8*C8,,
Adaptability & Portability,,8,=B9*C9,,
TOTAL,,=SUM(C2:C9),=SUM(D2:D9),,
,,,,,
Verdict bands,,,,,
< 250,Not ready for Commit,,,,
250-325,Operationally viable - weaknesses,,,,
325-400,Recommended target range,,,,
> 400,Optimized / possible over-engineering,,,,
